Temperature,Gate_voltage,Eon_mean,Eoff_mean,Esw_mean,Esw_max,Esw_std,dEsw_dIc,tOn_mean,tOff_mean,tOff_max,t_ratio,HealthState
20,10,0.0007213538840468,0.0009594941119231,0.0016808479959699,0.0032343307927226,0.0010947245877961,0.0001371198160564,4.74e-07,6.64e-07,6.7e-07,1.40084388185654,Healthy
30,10,0.0007337029771648,0.0009607113906375,0.0016944143678023,0.0032933032412845,0.0011151071106539,0.0001394165543675,4.88e-07,6.68e-07,6.8e-07,1.36885245901639,Healthy
40,10,0.0007502935952699,0.0009594144483602,0.0017097080436302,0.0033764068624589,0.0011481975169344,0.0001431681555999,5.06e-07,6.64e-07,6.7e-07,1.31225296442688,Healthy
50,10,0.0007866879977474,0.0009614357660376,0.0017481237637851,0.0035565810910745,0.0012150896792195,0.0001505025927925,5.52e-07,6.68e-07,6.8e-07,1.21014492753623,Healthy
60,10,0.0003894232534888,0.0006485588282095,0.0010379820816984,0.0022542493697748,0.0008897872314263,8.24742750289958e-06,2.92e-07,5.4e-07,6.79999999999999e-07,1.84931506849315,Healthy
70,10,0.0003897728985919,0.0006474624872975,0.0010372353858894,0.0022545890886683,0.0008888973480693,8.19809900009559e-06,2.92e-07,5.38e-07,6.79999999999999e-07,1.84246575342466,Healthy
80,10,0.0003911654043971,0.0006519687051223,0.0010431341095195,0.0022772452751274,0.0008959868547943,8.44711550956765e-06,2.92e-07,5.44e-07,6.89999999999999e-07,1.86301369863014,Warning
90,10,0.0003929265171401,0.0006539828719151,0.0010469093890552,0.0022856025049827,0.0009002162856643,8.60584122450184e-06,2.94e-07,5.48e-07,6.9e-07,1.86394557823129,Warning
100,10,0.0003937008906738,0.0006554725831638,0.0010491734738377,0.0022888442706666,0.0009016105886577,8.56141003273976e-06,2.94e-07,5.5e-07,7e-07,1.87074829931973,Warning
110,10,0.0003952053065954,0.0006552955585477,0.0010505008651432,0.0022980969641859,0.0009043511527995,8.73201129371739e-06,2.94e-07,5.5e-07,7e-07,1.87074829931973,Warning
120,10,0.0003973161264849,0.0006574839626902,0.0010548000891752,0.002307765325107,0.000908472771943,8.81582868126353e-06,2.96e-07,5.54e-07,7.1e-07,1.87162162162162,Warning
130,10,0.0004003504085764,0.0006582417172302,0.0010585921258066,0.0023178887396728,0.0009132580994625,9.02956703167161e-06,3e-07,5.54e-07,7.1e-07,1.84666666666667,Fault
140,10,0.0004016692588156,0.0006597074070313,0.0010613766658469,0.0023228353258849,0.0009140369692204,8.85610777098922e-06,3.04e-07,5.58e-07,7.2e-07,1.83552631578947,Fault
150,10,0.0004040636445284,0.0006612638692035,0.0010653275137319,0.0023342204163536,0.0009184322645844,8.99528456824927e-06,3.08e-07,5.6e-07,7.3e-07,1.81818181818182,Fault
20,12,0.000316538346571,0.0009789032934175,0.0012954416399886,0.0022281705712434,0.0007221501538375,9.13123764053125e-05,1.88e-07,6.78e-07,6.8e-07,3.6063829787234,Healthy
30,12,0.0003198028157206,0.0009833671748738,0.0013031699905945,0.0022505717638055,0.0007283024203067,9.20732093060292e-05,1.88e-07,6.82e-07,6.9e-07,3.62765957446808,Healthy
40,12,0.0003254249288888,0.0009821145145535,0.0013075394434423,0.0022602377812275,0.0007329842550389,9.26640608495728e-05,1.92e-07,6.82e-07,6.9e-07,3.55208333333333,Healthy
50,12,0.0003287600316737,0.0009803935392947,0.0013091535709685,0.0022569405912115,0.0007318798080406,9.2535715264533e-05,1.92e-07,6.8e-07,6.9e-07,3.54166666666667,Healthy
60,12,0.0003347861842843,0.000984191182283,0.0013189773665673,0.0022841643866901,0.0007399178834531,9.3532451031946e-05,1.98e-07,6.84e-07,6.9e-07,3.45454545454545,Healthy
70,12,0.0003402400471666,0.0009881482685327,0.0013283883156994,0.0023042105513973,0.0007477378687897,9.45204219000798e-05,2.02e-07,6.86e-07,6.9e-07,3.3960396039604,Healthy
80,12,0.000343795770558,0.0009867058974274,0.0013305016679854,0.0023058788103609,0.0007478355027271,9.45323622962193e-05,2.02e-07,6.88e-07,7e-07,3.4059405940594,Warning
90,12,0.0003495568125023,0.0009904452232036,0.001340002035706,0.0023251865880831,0.0007567306549385,9.56534442668014e-05,2.06e-07,6.9e-07,7e-07,3.3495145631068,Warning
100,12,0.0003531269886777,0.0009931019055089,0.0013462288941867,0.0023375260535061,0.0007579741716838,9.57943660140635e-05,2.06e-07,7.12e-07,8e-07,3.45631067961165,Warning
110,12,0.0003586642354095,0.0009940488665055,0.0013527131019151,0.0023617263202546,0.0007644808934252,9.6586293096742e-05,2.1e-07,7.18e-07,8.3e-07,3.41904761904762,Warning
120,12,0.0003632736107442,0.0009998711301669,0.0013631447409112,0.0023729047954598,0.0007695174168242,9.72447266794583e-05,2.12e-07,7.32e-07,8.69999999999999e-07,3.45283018867924,Warning
130,12,0.0003682284864407,0.0010029807099848,0.0013712091964256,0.0023906627748146,0.00077664215199,9.81364634426641e-05,2.14e-07,7.38e-07,8.9e-07,3.44859813084112,Fault
140,12,0.0003750773063896,0.0010026672819551,0.0013777445883448,0.0024073178430784,0.0007801275678235,9.85569001299942e-05,2.24e-07,7.42e-07,9.10000000000001e-07,3.3125,Fault
150,12,0.000380423360358,0.0010054026766902,0.0013858260370482,0.002418941824377,0.0007852121862768,9.92080957770509e-05,2.32e-07,7.5e-07,9.4e-07,3.23275862068965,Fault
20,15,0.0001813457432187,0.0009924455084738,0.0011737912516925,0.001986948799965,0.0006324527379711,7.99827107916239e-05,1e-07,7.22e-07,8.6e-07,7.22,Healthy
30,15,0.0001842284848726,0.0009931402927972,0.0011773687776699,0.0019791197745328,0.0006297417148809,7.96521003328152e-05,1e-07,7.3e-07,8.9e-07,7.3,Healthy
40,15,0.0001868691709975,0.0009957809259903,0.0011826500969878,0.0019868267536898,0.0006326573358284,8.00217697272546e-05,1e-07,7.36e-07,9.1e-07,7.36,Healthy
50,15,0.0001918457497557,0.0009975969438043,0.00118944269356,0.002005857168761,0.0006368145621411,8.0542215506006e-05,1.06e-07,7.56e-07,9.3e-07,7.13207547169811,Healthy
60,15,0.000195132316812,0.0010004447605416,0.0011955770773537,0.002013750469077,0.0006393309958414,8.0863246882607e-05,1.08e-07,7.72e-07,9.49999999999999e-07,7.14814814814815,Healthy
70,15,0.0001979667253226,0.0010003146327096,0.0011982813580322,0.0020207490806874,0.0006419727511619,8.11931477156916e-05,1.08e-07,7.78e-07,9.69999999999999e-07,7.2037037037037,Healthy
80,15,0.0002017815847278,0.0010038299784881,0.001205611563216,0.0020327847523075,0.0006464514305166,8.17620214505601e-05,1.1e-07,7.94e-07,1e-06,7.21818181818182,Warning
90,15,0.0002054000580035,0.00100529228598,0.0012106923439835,0.0020396825846062,0.0006494504062314,8.21426261076604e-05,1.12e-07,8e-07,1.01e-06,7.14285714285714,Warning
100,15,0.000208238520363,0.0010123342050426,0.0012205727254057,0.0020610805522505,0.000656743137676,8.30660971518092e-05,1.12e-07,8.22e-07,1.03e-06,7.33928571428571,Warning
110,15,0.0002128730434633,0.0010135308128324,0.0012264038562958,0.002072422909227,0.0006598023890555,8.34506115388736e-05,1.18e-07,8.38e-07,1.06e-06,7.10169491525424,Warning
120,15,0.0002157816048616,0.0010162141044903,0.001231995709352,0.0020785278247862,0.0006623677033727,8.37782926748435e-05,1.18e-07,8.52e-07,1.07e-06,7.22033898305085,Warning
130,15,0.0002194167555082,0.0010170790593633,0.0012364958148716,0.002084034921518,0.0006646957892089,8.40747934855999e-05,1.2e-07,8.64e-07,1.09e-06,7.2,Fault
140,15,0.0002237484303122,0.0010216226162175,0.0012453710465297,0.0021087380545203,0.0006717533866699,8.49592643761137e-05,1.24e-07,8.8e-07,1.12e-06,7.09677419354839,Fault
150,15,0.0002312694050783,0.0010226523612346,0.0012539217663129,0.0021197814847935,0.0006738410107701,8.52237549830756e-05,1.34e-07,8.9e-07,1.14e-06,6.64179104477612,Fault
20,20,0.0002109014305155,0.0010286230666842,0.0012395244971997,0.0021099787477772,0.0006776112832335,8.56974030506545e-05,4.02e-06,1.374e-06,1.44e-06,0.341791044776119,Healthy
30,20,0.0002160353489512,0.0010303873516195,0.0012464227005708,0.0021257461648059,0.0006833600556245,8.64209215470255e-05,4.02e-06,1.386e-06,1.46e-06,0.344776119402985,Healthy
40,20,0.0002213585654712,0.0010325771864788,0.0012539357519501,0.00214069544482,0.0006889346360689,8.71253815384257e-05,4.02e-06,1.398e-06,1.47e-06,0.347761194029851,Healthy
50,20,0.0002271470031022,0.0010333228044361,0.0012604698075383,0.0021520818740548,0.0006933053945762,8.76785108287616e-05,4.02e-06,1.408e-06,1.49e-06,0.350248756218906,Healthy
60,20,0.0002328737331457,0.0010352352833828,0.0012681090165285,0.0021694260670389,0.0006994318152796,8.84489676649334e-05,4.02e-06,1.42e-06,1.51e-06,0.353233830845771,Healthy
70,20,0.0002387118660465,0.0010347731594756,0.0012734850255222,0.0021800331223833,0.0007031040687507,8.89130087505217e-05,4.02e-06,1.426e-06,1.52e-06,0.354726368159204,Healthy
80,20,0.0002446120966571,0.001037203386384,0.0012818154830412,0.0021978658216285,0.0007097846029362,8.97536646614037e-05,4.02e-06,1.438e-06,1.54e-06,0.35771144278607,Warning
90,20,0.0002507683702431,0.0010398783501164,0.0012906467203595,0.002216510199326,0.0007163745437563,9.05843705168182e-05,4.02e-06,1.45e-06,1.55e-06,0.360696517412935,Warning
100,20,0.0002570999542588,0.0010414614230603,0.0012985613773191,0.0022297982488335,0.0007213728246696,9.12167469530598e-05,4.02e-06,1.46e-06,1.57e-06,0.36318407960199,Warning
110,20,0.0002635183202548,0.0010434186265641,0.001306936946819,0.0022504637612823,0.0007278778480904,9.20311801092374e-05,4.02e-06,1.47e-06,1.59e-06,0.365671641791045,Warning
120,20,0.0002699221063122,0.0010439555835399,0.0013138776898522,0.0022634420371692,0.0007331240022129,9.26936258679991e-05,4.02e-06,1.476e-06,1.6e-06,0.367164179104478,Warning
130,20,0.0002765611217257,0.00104611386225,0.0013226749839758,0.0022776444262215,0.0007384602397002,9.33695957750921e-05,4.02e-06,1.486e-06,1.62e-06,0.369651741293532,Fault
140,20,0.0002834405235527,0.001049301004272,0.0013327415278247,0.0023003422693932,0.0007453808307051,9.42371996791437e-05,4.02e-06,1.498e-06,1.64e-06,0.372636815920398,Fault
150,20,0.000290310357462,0.0010516260936335,0.0013419364510956,0.0023162779545165,0.0007512386638166,9.4977642499142e-05,4.02e-06,1.508e-06,1.66e-06,0.375124378109453,Fault
20,8,8.00164692109406e-05,6.30466768855087e-05,0.0001430631460964,0.0007153157304822,0.0003198989197466,-2.86126292192898e-05,1.72e-07,1.36e-07,6.8e-07,0.790697674418605,Healthy
30,8,7.32998222499102e-05,6.29471888067549e-05,0.0001362470110566,0.0006812350552833,0.0003046575784538,-2.7249402211333e-05,1.54e-07,1.36e-07,6.8e-07,0.883116883116884,Healthy
40,8,6.82894548871708e-05,6.30550384706394e-05,0.0001313444933578,0.000656722466789,0.0002936952156183,-2.6268898671562e-05,1.42e-07,1.36e-07,6.8e-07,0.95774647887324,Healthy
50,8,6.41752716293619e-05,6.25253015233707e-05,0.0001267005731527,0.0006335028657636,0.0002833110943576,-2.53401146305465e-05,1.32e-07,1.34e-07,6.7e-07,1.01515151515152,Healthy
60,8,6.05213599233748e-05,6.29729762037097e-05,0.000123494336127,0.0006174716806354,0.0002761417304163,-2.46988672254169e-05,1.22e-07,1.36e-07,6.8e-07,1.11475409836066,Healthy
70,8,5.77748350394972e-05,6.28894114132362e-05,0.0001206642464527,0.0006033212322636,0.0002698134575221,-2.41328492905467e-05,1.16e-07,1.36e-07,6.79999999999999e-07,1.17241379310345,Healthy
80,8,5.53088124583449e-05,6.30802102174129e-05,0.0001183890226757,0.0005919451133787,0.0002647259024927,-2.36778045351516e-05,1.1e-07,1.36e-07,6.79999999999999e-07,1.23636363636364,Warning
90,8,5.33407041529444e-05,6.30999205841754e-05,0.0001164406247371,0.0005822031236855,0.0002603691522547,-2.3288124947424e-05,1.06e-07,1.36e-07,6.8e-07,1.28301886792453,Warning
100,8,5.15559412841657e-05,6.30227552062568e-05,0.0001145786964904,0.0005728934824521,0.0002562057541259,-2.29157392980845e-05,1.02e-07,1.36e-07,6.8e-07,1.33333333333333,Warning
110,8,4.99245484998865e-05,6.36556371016346e-05,0.0001135801856015,0.0005679009280076,0.000253973015902,-2.27160371203042e-05,9.8e-08,1.38e-07,6.9e-07,1.40816326530612,Warning
120,8,4.84195271549275e-05,6.42440134626185e-05,0.0001126635406175,0.0005633177030877,0.0002519233354066,-2.25327081235092e-05,9.4e-08,1.4e-07,7e-07,1.48936170212766,Warning
130,8,4.72814726555901e-05,6.45921947816239e-05,0.0001118736674372,0.000559368337186,0.0002501571252818,-2.23747334874428e-05,9.2e-08,1.4e-07,7e-07,1.52173913043478,Fault
140,8,4.60217335621274e-05,6.44377790809082e-05,0.000110459512643,0.0005522975632151,0.0002469949790313,-2.20919025286071e-05,9e-08,1.4e-07,7e-07,1.55555555555556,Fault
150,8,4.50721990217965e-05,6.5042774605249e-05,0.000110114973627,0.0005505748681352,0.0002462245663706,-2.20229947254091e-05,8.8e-08,1.42e-07,7.1e-07,1.61363636363636,Fault
