riseTime,millerTime,Vge_plateau,max_dVge,max_dIdt,fallTime,Vce_overshoot,Vge_max,Eon_mean,Eoff_mean,Esw_mean,Esw_max,dEsw_dIc,tOn_mean,tOff_mean,tOff_max,t_ratio,Vce_50A,Vce_100A,Vce_275A,Vce_550A,Vce_1200A,Vce_2500A,Vce_3400A,Ic_1_5V,Ic_2_5V,Ic_4V,Ic_6V,Ic_8V,Ic_10V,mean_dIdV,max_dIdV,area_IV,mean_Ic_highV,HealthState
2.40E-07,1.50E-07,9.984045655,389404315.1,71199850.82,5.60E-07,0.012738818,10.37608537,0.000393701,0.000655473,0.001049173,0.002288844,8.56E-06,2.94E-07,5.50E-07,7.00E-07,1.870748299,1.299835756,1.535907614,2.310826833,3.891680824,10,10,10,91.96383052,315.3506109,562.7935076,645.3951782,656.3367049,667.0261753,66.068371,229.3759179,4777.964828,661.9691991,Warning
2.10E-07,2.10E-07,9.980753888,385664883.4,59203944.8,8.10E-07,0.011523726,10.28289085,0.000393701,0.000655473,0.001049173,0.002288844,8.56E-06,2.94E-07,5.50E-07,7.00E-07,1.870748299,1.299835756,1.535907614,2.310826833,3.891680824,10,10,10,91.96383052,315.3506109,562.7935076,645.3951782,656.3367049,667.0261753,66.068371,229.3759179,4777.964828,661.9691991,Warning
2.00E-07,3.00E-07,9.954819563,382455897,59037841.86,1.50E-06,0.008411031,10.18949546,0.000393701,0.000655473,0.001049173,0.002288844,8.56E-06,2.94E-07,5.50E-07,7.00E-07,1.870748299,1.299835756,1.535907614,2.310826833,3.891680824,10,10,10,91.96383052,315.3506109,562.7935076,645.3951782,656.3367049,667.0261753,66.068371,229.3759179,4777.964828,661.9691991,Warning
2.50E-07,1.50E-07,9.984121141,389404339.3,72535733.18,5.60E-07,0.012910826,10.39097109,0.000395205,0.000655296,0.001050501,0.002298097,8.73E-06,2.94E-07,5.50E-07,7.00E-07,1.870748299,1.309735429,1.550447681,2.337305913,3.920424096,10,10,10,88.94247912,309.4005376,559.7667243,655.0053167,666.2402852,677.2196524,67.0783408,225.7615896,4813.337871,672.025269,Warning
2.20E-07,2.10E-07,9.980743726,385664883.4,59232312.59,8.10E-07,0.011672021,10.29995797,0.000395205,0.000655296,0.001050501,0.002298097,8.73E-06,2.94E-07,5.50E-07,7.00E-07,1.870748299,1.309735429,1.550447681,2.337305913,3.920424096,10,10,10,88.94247912,309.4005376,559.7667243,655.0053167,666.2402852,677.2196524,67.0783408,225.7615896,4813.337871,672.025269,Warning
2.00E-07,2.90E-07,9.954803915,382455899.4,59060464.48,1.50E-06,0.008504769,10.19423794,0.000395205,0.000655296,0.001050501,0.002298097,8.73E-06,2.94E-07,5.50E-07,7.00E-07,1.870748299,1.309735429,1.550447681,2.337305913,3.920424096,10,10,10,88.94247912,309.4005376,559.7667243,655.0053167,666.2402852,677.2196524,67.0783408,225.7615896,4813.337871,672.025269,Warning
2.50E-07,1.50E-07,9.984011031,389404371.6,73935611.17,5.60E-07,0.013097698,10.40282474,0.000397316,0.000657484,0.0010548,0.002307765,8.82E-06,2.96E-07,5.54E-07,7.10E-07,1.871621622,1.319660695,1.565056627,2.363878251,3.952228386,10,10,10,86.03847862,303.496511,556.0731308,664.1400867,675.6616786,686.9243996,68.03990585,222.1505005,4844.275426,681.5956946,Warning
2.30E-07,2.10E-07,9.980733303,385664991.7,59238152.53,8.10E-07,0.011832973,10.31550377,0.000397316,0.000657484,0.0010548,0.002307765,8.82E-06,2.96E-07,5.54E-07,7.10E-07,1.871621622,1.319660695,1.565056627,2.363878251,3.952228386,10,10,10,86.03847862,303.496511,556.0731308,664.1400867,675.6616786,686.9243996,68.03990585,222.1505005,4844.275426,681.5956946,Warning
2.10E-07,2.90E-07,9.954796421,382455896.6,59088137.41,1.50E-06,0.008607296,10.20059564,0.000397316,0.000657484,0.0010548,0.002307765,8.82E-06,2.96E-07,5.54E-07,7.10E-07,1.871621622,1.319660695,1.565056627,2.363878251,3.952228386,10,10,10,86.03847862,303.496511,556.0731308,664.1400867,675.6616786,686.9243996,68.03990585,222.1505005,4844.275426,681.5956946,Warning
2.60E-07,1.50E-07,9.983962417,389404358.5,75375772.22,5.60E-07,0.013295384,10.41225377,0.00040035,0.000658242,0.001058592,0.002317889,9.03E-06,3.00E-07,5.54E-07,7.10E-07,1.846666667,1.329640151,1.579745655,2.390592174,3.986033379,10,10,10,83.2482155,297.6594855,551.8281804,672.8223092,684.6237529,696.1633212,68.955334,218.8033225,4871.022636,690.7033636,Fault
