Temperature,Gate_voltage,Eon_mean,Eoff_mean,Esw_mean,Esw_max,Esw_std,dEsw_dIc,tOn_mean,tOff_mean,tOff_max,t_ratio,HealthState
20,15,0.000181345743218725,0.000992445508473811,0.00117379125169254,0.00198694879996501,0.000632452737971143,7.99827107916239e-05,1e-07,7.22e-07,8.6e-07,7.22,Healthy
30,15,0.000184228484872679,0.000993140292797221,0.0011773687776699,0.00197911977453282,0.000629741714880961,7.96521003328152e-05,1e-07,7.3e-07,8.9e-07,7.3,Healthy
40,15,0.000186869170997539,0.000995780925990349,0.00118265009698789,0.00198682675368984,0.000632657335828437,8.00217697272546e-05,1e-07,7.36e-07,9.1e-07,7.36,Healthy
50,15,0.000191845749755703,0.000997596943804383,0.00118944269356009,0.00200585716876109,0.000636814562141162,8.0542215506006e-05,1.06e-07,7.56e-07,9.3e-07,7.13207547169811,Healthy
60,15,0.000195132316812081,0.00100044476054165,0.00119557707735373,0.00201375046907705,0.000639330995841494,8.0863246882607e-05,1.08e-07,7.72e-07,9.49999999999999e-07,7.14814814814815,Healthy
70,15,0.000197966725322675,0.00100031463270962,0.00119828135803229,0.0020207490806874,0.000641972751161988,8.11931477156916e-05,1.08e-07,7.78e-07,9.69999999999999e-07,7.2037037037037,Healthy
80,15,0.000201781584727875,0.00100382997848819,0.00120561156321606,0.00203278475230752,0.000646451430516613,8.17620214505601e-05,1.1e-07,7.94e-07,1e-06,7.21818181818182,Warning
90,15,0.00020540005800352,0.00100529228598004,0.00121069234398356,0.00203968258460624,0.000649450406231431,8.21426261076604e-05,1.12e-07,8e-07,1.01e-06,7.14285714285714,Warning
100,15,0.000208238520363078,0.00101233420504269,0.00122057272540577,0.00206108055225053,0.000656743137676035,8.30660971518092e-05,1.12e-07,8.22e-07,1.03e-06,7.33928571428571,Warning
110,15,0.000212873043463347,0.00101353081283245,0.0012264038562958,0.00207242290922703,0.000659802389055563,8.34506115388736e-05,1.18e-07,8.38e-07,1.06e-06,7.10169491525424,Warning
120,15,0.000215781604861675,0.00101621410449038,0.00123199570935205,0.00207852782478628,0.000662367703372736,8.37782926748435e-05,1.18e-07,8.52e-07,1.07e-06,7.22033898305085,Warning
130,15,0.000219416755508265,0.00101707905936339,0.00123649581487165,0.00208403492151801,0.000664695789208907,8.40747934855999e-05,1.2e-07,8.64e-07,1.09e-06,7.2,Fault
140,15,0.000223748430312229,0.00102162261621753,0.00124537104652976,0.00210873805452035,0.000671753386669959,8.49592643761137e-05,1.24e-07,8.8e-07,1.12e-06,7.09677419354839,Fault
150,15,0.000231269405078344,0.00102265236123461,0.00125392176631295,0.00211978148479358,0.000673841010770146,8.52237549830756e-05,1.34e-07,8.9e-07,1.14e-06,6.64179104477612,Fault
